n 	 Ascending 	 Descending 	 Random

5000 	 0 	 12497500 	 6338050
10000 	 0 	 49995000 	 24993650
15000 	 0 	 112492500 	 56070895
20000 	 0 	 199990000 	 99648647
25000 	 0 	 312487500 	 156181934
30000 	 0 	 449985000 	 224848443
35000 	 0 	 612482500 	 306533180
40000 	 0 	 799980000 	 400354186
45000 	 0 	 1012477500 	 507487833
50000 	 0 	 1249975000 	 625161626
